Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 18:51:26,1954.8865,4107,string,4096
Sun Jun 11 2023 18:51:26,144.3122,16398,string,16384
Sun Jun 11 2023 18:51:27,210.0810,65550,string,65536
Sun Jun 11 2023 18:51:27,272.0550,262158,string,262144
Sun Jun 11 2023 18:51:27,304.2184,1048832,string,1048576
Sun Jun 11 2023 18:51:28,403.2628,4195305,string,4194304
Sun Jun 11 2023 18:51:29,982.1019,16781194,string,16777216
Sun Jun 11 2023 18:52:10,4784.0274,4107,string,4096
Sun Jun 11 2023 18:52:10,155.2765,16398,string,16384
Sun Jun 11 2023 18:52:10,218.2710,65550,string,65536
Sun Jun 11 2023 18:52:10,254.0067,262158,string,262144
Sun Jun 11 2023 18:52:11,252.5602,1048832,string,1048576
Sun Jun 11 2023 18:52:11,410.5820,4195305,string,4194304
Sun Jun 11 2023 18:52:12,1129.4511,16781194,string,16777216
-,-,-
Sun Jun 11 2023 18:58:45,146.7613,16398,string,16384
Sun Jun 11 2023 18:58:45,218.1273,65550,string,65536
Sun Jun 11 2023 18:58:46,284.2807,262158,string,262144
Sun Jun 11 2023 18:58:46,316.2121,1048832,string,1048576
Sun Jun 11 2023 18:58:46,405.5148,4195305,string,4194304
Sun Jun 11 2023 18:58:47,941.9517,16781194,string,16777216
Sun Jun 11 2023 18:59:28,291.3622,4107,string,4096
Sun Jun 11 2023 18:59:28,183.9571,16398,string,16384
Sun Jun 11 2023 18:59:29,261.2181,65550,string,65536
Sun Jun 11 2023 18:59:29,358.2217,262158,string,262144
Sun Jun 11 2023 18:59:29,390.7468,1048832,string,1048576
Sun Jun 11 2023 18:59:30,523.4373,4195305,string,4194304
Sun Jun 11 2023 18:59:32,2441.6304,16781194,string,16777216
Sun Jun 11 2023 19:00:11,259.7864,4107,string,4096
Sun Jun 11 2023 19:00:11,173.3384,16398,string,16384
Sun Jun 11 2023 19:00:11,252.9745,65550,string,65536
Sun Jun 11 2023 19:00:12,327.3209,262158,string,262144
Sun Jun 11 2023 19:00:12,319.5011,1048832,string,1048576
Sun Jun 11 2023 19:00:12,464.3846,4195305,string,4194304
Sun Jun 11 2023 19:00:14,1418.0288,16781194,string,16777216
Sun Jun 11 2023 19:04:56,145.6866,4107,string,4096
Sun Jun 11 2023 19:04:56,142.7238,16398,string,16384
Sun Jun 11 2023 19:04:56,218.3249,65550,string,65536
Sun Jun 11 2023 19:04:57,290.2591,262158,string,262144
Sun Jun 11 2023 19:04:57,314.0590,1048832,string,1048576
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 19:34:45,37.1519,4107,string,4096
Sun Jun 11 2023 19:34:45,36.7411,16398,string,16384
Sun Jun 11 2023 19:34:45,51.8901,65550,string,65536
Sun Jun 11 2023 19:34:45,70.2206,262158,string,262144
Sun Jun 11 2023 19:34:45,75.7644,1048832,string,1048576
Sun Jun 11 2023 19:34:45,115.4677,4195305,string,4194304
Sun Jun 11 2023 19:34:45,400.4338,16781194,string,16777216
Sun Jun 11 2023 19:44:43,245.6253,4107,string,4096
Sun Jun 11 2023 19:44:43,197.0630,16398,string,16384
Sun Jun 11 2023 19:44:43,275.9356,65550,string,65536
Sun Jun 11 2023 19:44:44,364.5679,262158,string,262144
Sun Jun 11 2023 19:44:44,365.8529,1048832,string,1048576
Sun Jun 11 2023 19:44:44,193.4393,4195305,string,4194304
Sun Jun 11 2023 19:44:45,525.0993,16781194,string,16777216
Sun Jun 11 2023 19:51:08,37.4751,4107,string,4096
Sun Jun 11 2023 19:51:08,33.2063,16398,string,16384
Sun Jun 11 2023 19:51:09,34.7546,65550,string,65536
Sun Jun 11 2023 19:51:09,38.8585,262158,string,262144
Sun Jun 11 2023 19:51:09,53.7044,1048832,string,1048576
Sun Jun 11 2023 19:51:09,149.6400,4195305,string,4194304
Sun Jun 11 2023 19:51:09,366.0201,16781194,string,16777216
Sun Jun 11 2023 19:52:37,154.5304,4107,string,4096
Sun Jun 11 2023 19:52:37,155.7726,16398,string,16384
Sun Jun 11 2023 19:52:37,225.8684,65550,string,65536
Sun Jun 11 2023 19:52:37,282.6527,262158,string,262144
Sun Jun 11 2023 19:52:37,60.1769,1048832,string,1048576
Sun Jun 11 2023 19:52:38,445.5901,4195305,string,4194304
Sun Jun 11 2023 19:52:39,1006.7190,16781194,string,16777216
Sun Jun 11 2023 19:53:16,262.9456,4107,string,4096
Sun Jun 11 2023 19:53:16,141.1637,16398,string,16384
Sun Jun 11 2023 19:53:16,263.8499,65550,string,65536
Sun Jun 11 2023 19:53:17,305.6797,262158,string,262144
Sun Jun 11 2023 19:53:17,127.7099,1048832,string,1048576
Sun Jun 11 2023 19:53:17,534.4978,4195305,string,4194304
Sun Jun 11 2023 19:53:19,1219.7260,16781194,string,16777216
Sun Jun 11 2023 19:54:35,42.3888,4107,string,4096
Sun Jun 11 2023 19:54:35,36.7611,16398,string,16384
Sun Jun 11 2023 19:54:35,38.1474,65550,string,65536
Sun Jun 11 2023 19:54:35,47.4559,262158,string,262144
Sun Jun 11 2023 19:54:35,54.5922,1048832,string,1048576
Sun Jun 11 2023 19:54:35,142.0059,4195305,string,4194304
Sun Jun 11 2023 19:54:36,349.4545,16781194,string,16777216
Sun Jun 11 2023 19:55:16,248.7321,4107,string,4096
Sun Jun 11 2023 19:55:16,152.6695,16398,string,16384
Sun Jun 11 2023 19:55:16,146.6439,65550,string,65536
Sun Jun 11 2023 19:55:16,154.0108,262158,string,262144
Sun Jun 11 2023 19:55:17,158.3214,1048832,string,1048576
Sun Jun 11 2023 19:55:17,366.8739,4195305,string,4194304
Sun Jun 11 2023 19:55:18,1186.3423,16781194,string,16777216
Sun Jun 11 2023 19:55:56,37.0757,4107,string,4096
Sun Jun 11 2023 19:55:56,35.0035,16398,string,16384
Sun Jun 11 2023 19:55:56,36.3307,65550,string,65536
Sun Jun 11 2023 19:55:57,53.3742,262158,string,262144
Sun Jun 11 2023 19:55:57,93.4148,1048832,string,1048576
Sun Jun 11 2023 19:55:57,123.9776,4195305,string,4194304
Sun Jun 11 2023 19:55:57,440.7871,16781194,string,16777216
Sun Jun 11 2023 19:56:44,148.9611,4107,string,4096
Sun Jun 11 2023 19:56:44,145.3586,16398,string,16384
Sun Jun 11 2023 19:56:44,146.8677,65550,string,65536
Sun Jun 11 2023 19:56:44,149.8548,262158,string,262144
Sun Jun 11 2023 19:56:45,181.9531,1048832,string,1048576
Sun Jun 11 2023 19:56:45,282.1027,4195305,string,4194304
Sun Jun 11 2023 19:56:46,913.3510,16781194,string,16777216
Sun Jun 11 2023 19:57:23,208.8709,4107,string,4096
Sun Jun 11 2023 19:57:23,139.4841,16398,string,16384
Sun Jun 11 2023 19:57:23,141.8449,65550,string,65536
Sun Jun 11 2023 19:57:23,154.1670,262158,string,262144
Sun Jun 11 2023 19:57:23,168.1226,1048832,string,1048576
Sun Jun 11 2023 19:57:24,351.2207,4195305,string,4194304
Sun Jun 11 2023 19:57:25,1391.3499,16781194,string,16777216
Sun Jun 11 2023 19:58:41,43.7226,4107,string,4096
Sun Jun 11 2023 19:58:41,39.4016,16398,string,16384
Sun Jun 11 2023 19:58:42,39.0887,65550,string,65536
Sun Jun 11 2023 19:58:42,43.8674,262158,string,262144
Sun Jun 11 2023 19:58:42,88.9085,1048832,string,1048576
Sun Jun 11 2023 19:58:42,111.1024,4195305,string,4194304
Sun Jun 11 2023 19:58:42,363.9137,16781194,string,16777216
Sun Jun 11 2023 19:59:23,267.3268,4107,string,4096
Sun Jun 11 2023 19:59:23,142.7441,16398,string,16384
Sun Jun 11 2023 19:59:23,157.9867,65550,string,65536
Sun Jun 11 2023 19:59:23,152.4875,262158,string,262144
Sun Jun 11 2023 19:59:23,164.7752,1048832,string,1048576
Sun Jun 11 2023 19:59:24,389.8364,4195305,string,4194304
Sun Jun 11 2023 19:59:25,1353.4868,16781194,string,16777216
Sun Jun 11 2023 20:00:03,71.4834,4107,string,4096
Sun Jun 11 2023 20:00:03,35.9067,16398,string,16384
Sun Jun 11 2023 20:00:04,34.7947,65550,string,65536
Sun Jun 11 2023 20:00:04,39.4674,262158,string,262144
Sun Jun 11 2023 20:00:04,56.2613,1048832,string,1048576
Sun Jun 11 2023 20:00:04,125.8072,4195305,string,4194304
Sun Jun 11 2023 20:00:04,563.1623,16781194,string,16777216
Sun Jun 18 2023 19:35:44,142.5869,4107,string,4096
Sun Jun 18 2023 19:35:44,142.9644,16398,string,16384
Sun Jun 18 2023 19:35:45,213.7007,65550,string,65536
Sun Jun 18 2023 19:35:45,280.4030,262158,string,262144
Sun Jun 18 2023 19:35:45,305.0232,1048832,string,1048576
Sun Jun 18 2023 19:35:46,430.7719,4195305,string,4194304
Sun Jun 18 2023 19:35:47,1168.4827,16781194,string,16777216
Sun Jun 18 2023 19:35:55,382.2474,4107,string,4096
Sun Jun 18 2023 19:35:55,160.0904,16398,string,16384
Sun Jun 18 2023 19:35:56,221.0513,65550,string,65536
Sun Jun 18 2023 19:35:56,309.1789,262158,string,262144
Sun Jun 18 2023 19:35:56,299.3973,1048832,string,1048576
Sun Jun 18 2023 19:35:57,480.5508,4195305,string,4194304
Sun Jun 18 2023 19:35:58,1548.9128,16781194,string,16777216
Sun Jun 18 2023 19:36:06,198.5767,4107,string,4096
Sun Jun 18 2023 19:36:06,155.1844,16398,string,16384
Sun Jun 18 2023 19:36:07,241.8045,65550,string,65536
Sun Jun 18 2023 19:36:07,549.9823,262158,string,262144
Sun Jun 18 2023 19:36:08,1252.6409,1048832,string,1048576
Sun Jun 18 2023 19:36:11,2668.5586,4195305,string,4194304
Sun Jun 18 2023 19:36:16,5178.0762,16781194,string,16777216
Sun Jun 18 2023 19:36:24,224.1431,4107,string,4096
Sun Jun 18 2023 19:36:24,135.3906,16398,string,16384
Sun Jun 18 2023 19:36:24,153.4566,65550,string,65536
Sun Jun 18 2023 19:36:25,251.1232,262158,string,262144
Sun Jun 18 2023 19:36:25,399.5009,1048832,string,1048576
Sun Jun 18 2023 19:36:26,1149.7026,4195305,string,4194304
Sun Jun 18 2023 19:36:30,3372.5447,16781194,string,16777216
Sun Jun 18 2023 19:36:48,223.7741,4107,string,4096
Sun Jun 18 2023 19:36:48,193.9905,16398,string,16384
Sun Jun 18 2023 19:36:49,276.9442,65550,string,65536
Sun Jun 18 2023 19:36:49,696.6779,262158,string,262144
Sun Jun 18 2023 19:36:51,1531.2162,1048832,string,1048576
Sun Jun 18 2023 19:36:54,3253.2972,4195305,string,4194304
Sun Jun 18 2023 19:37:01,7129.3384,16781194,string,16777216
