Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 22:16:44,3.2572,string,4096
Tue Jun 13 2023 22:16:44,62.5193,string,16384
Tue Jun 13 2023 22:16:44,73.8924,string,65536
Tue Jun 13 2023 22:16:44,394.5850,string,262144
Tue Jun 13 2023 22:16:45,793.2071,string,1048576
Tue Jun 13 2023 22:16:47,2389.6368,string,4194304
Tue Jun 13 2023 22:16:54,6134.0792,string,16777216
Tue Jun 13 2023 22:17:12,2.7067,string,4096
Tue Jun 13 2023 22:17:12,60.7730,string,16384
Tue Jun 13 2023 22:17:12,88.3231,string,65536
Tue Jun 13 2023 22:17:12,348.4473,string,262144
Tue Jun 13 2023 22:17:13,759.0274,string,1048576
Tue Jun 13 2023 22:17:16,2439.6576,string,4194304
-,-
Tue Jun 13 2023 22:18:13,3.1985,string,4096
Tue Jun 13 2023 22:18:13,255.6534,string,16384
Tue Jun 13 2023 22:18:14,254.0091,string,65536
Tue Jun 13 2023 22:18:14,249.1235,string,262144
Tue Jun 13 2023 22:18:15,841.3838,string,1048576
Tue Jun 13 2023 22:18:17,2686.8193,string,4194304
Tue Jun 13 2023 22:18:55,6160.2747,string,16777216
Tue Jun 13 2023 22:20:18,5.8863,string,4096
Tue Jun 13 2023 22:20:19,264.3174,string,16384
Tue Jun 13 2023 22:20:19,47.4581,string,65536
Tue Jun 13 2023 22:20:19,345.3852,string,262144
Tue Jun 13 2023 22:20:20,880.4357,string,1048576
Tue Jun 13 2023 22:20:23,2826.5897,string,4194304
-,-
Tue Jun 13 2023 22:21:24,47.8359,string,4096
Tue Jun 13 2023 22:21:24,31.9578,string,16384
Tue Jun 13 2023 22:21:24,299.7608,string,65536
Tue Jun 13 2023 22:21:25,377.3400,string,262144
Tue Jun 13 2023 22:21:26,1202.1746,string,1048576
Tue Jun 13 2023 22:21:29,3012.2717,string,4194304
-,-
Tue Jun 13 2023 22:27:15,47.6775,string,4096
Tue Jun 13 2023 22:27:15,76.0169,string,16384
Tue Jun 13 2023 22:27:16,460.7331,string,65536
Tue Jun 13 2023 22:27:16,368.3118,string,262144
Tue Jun 13 2023 22:27:17,1055.5957,string,1048576
Tue Jun 13 2023 22:27:20,3418.1781,string,4194304
Tue Jun 13 2023 22:27:28,7443.0199,string,16777216
Tue Jun 13 2023 22:27:43,32.4952,string,4096
Tue Jun 13 2023 22:27:43,75.6980,string,16384
Tue Jun 13 2023 22:27:43,75.1339,string,65536
Tue Jun 13 2023 22:27:44,510.4163,string,262144
Tue Jun 13 2023 22:27:45,896.4881,string,1048576
Tue Jun 13 2023 22:27:47,2679.8133,string,4194304
-,-
Tue Jun 13 2023 22:28:46,32.0618,string,4096
Tue Jun 13 2023 22:28:46,292.3595,string,16384
Tue Jun 13 2023 22:28:47,270.9510,string,65536
Tue Jun 13 2023 22:28:47,412.3151,string,262144
Tue Jun 13 2023 22:28:48,831.1508,string,1048576
Tue Jun 13 2023 22:28:50,2497.5165,string,4194304
-,-
Tue Jun 13 2023 22:30:52,33.8507,string,4096
Tue Jun 13 2023 22:30:52,262.1848,string,16384
Tue Jun 13 2023 22:30:53,271.1040,string,65536
Tue Jun 13 2023 22:30:53,373.7509,string,262144
Tue Jun 13 2023 22:30:54,798.5103,string,1048576
Tue Jun 13 2023 22:30:56,2498.9146,string,4194304
-,-
Tue Jun 13 2023 22:31:58,32.1499,string,4096
Tue Jun 13 2023 22:31:58,75.7023,string,16384
Tue Jun 13 2023 22:31:58,77.1119,string,65536
Tue Jun 13 2023 22:31:59,524.8424,string,262144
Tue Jun 13 2023 22:32:00,1209.5343,string,1048576
Tue Jun 13 2023 22:32:03,2803.1656,string,4194304
-,-
Sun Jun 18 2023 23:01:26,2.4147,string,4096
Sun Jun 18 2023 23:01:26,31.6970,string,16384
Sun Jun 18 2023 23:01:26,32.8838,string,65536
Sun Jun 18 2023 23:01:26,408.0497,string,262144
Sun Jun 18 2023 23:01:27,1160.9511,string,1048576
Sun Jun 18 2023 23:01:30,2883.4933,string,4194304
Sun Jun 18 2023 23:01:36,5822.6906,string,16777216
Sun Jun 18 2023 23:02:00,3.2072,string,4096
Sun Jun 18 2023 23:02:01,295.8284,string,16384
Sun Jun 18 2023 23:02:01,289.3878,string,65536
Sun Jun 18 2023 23:02:01,295.8613,string,262144
Sun Jun 18 2023 23:02:02,859.5478,string,1048576
Sun Jun 18 2023 23:02:05,2677.9920,string,4194304
Sun Jun 18 2023 23:02:23,5960.0825,string,16777216
Sun Jun 18 2023 23:03:34,33.7995,string,4096
Sun Jun 18 2023 23:03:34,61.7875,string,16384
Sun Jun 18 2023 23:03:34,288.7028,string,65536
Sun Jun 18 2023 23:03:35,524.9488,string,262144
Sun Jun 18 2023 23:03:36,1327.5097,string,1048576
Sun Jun 18 2023 23:03:39,3096.3150,string,4194304
-,-
Sun Jun 18 2023 23:04:17,3.1498,string,4096
Sun Jun 18 2023 23:04:17,32.1805,string,16384
Sun Jun 18 2023 23:04:18,588.6349,string,65536
Sun Jun 18 2023 23:04:18,301.8246,string,262144
Sun Jun 18 2023 23:04:19,1170.1501,string,1048576
Sun Jun 18 2023 23:04:23,3971.9414,string,4194304
-,-
Sun Jun 18 2023 23:05:04,32.1488,string,4096
Sun Jun 18 2023 23:05:04,60.0696,string,16384
Sun Jun 18 2023 23:05:05,267.9562,string,65536
Sun Jun 18 2023 23:05:05,567.2939,string,262144
Sun Jun 18 2023 23:05:07,1317.8892,string,1048576
Sun Jun 18 2023 23:05:09,2924.0272,string,4194304
-,-
