index,Retrieval Time (ms),Size (Bytes)
0,142.8889,4096
14,144.3355,4096
21,141.6756,4096
28,154.2934,4096
35,139.4898,4096
42,146.46,4096
49,141.5327,4096
63,135.2046,4096
70,162.5761,4096
77,146.7464,4096
84,144.1815,4096
91,158.7337,4096
98,156.3456,4096
105,145.6679,4096
1,158.1336,16384
8,149.3224,16384
15,151.7022,16384
22,137.541,16384
29,156.264,16384
36,145.5906,16384
43,150.707,16384
50,140.46,16384
64,139.6109,16384
71,150.3978,16384
78,141.942,16384
85,155.6317,16384
92,141.9882,16384
106,142.8145,16384
2,142.8453,65536
16,143.9304,65536
23,156.2747,65536
30,155.5215,65536
37,164.8292,65536
44,156.3352,65536
51,143.4966,65536
79,145.2865,65536
86,162.4136,65536
93,146.4851,65536
100,166.2072,65536
107,144.0025,65536
3,151.5903,262144
17,149.0992,262144
24,177.2946,262144
31,158.2734,262144
38,208.5597,262144
45,152.5752,262144
52,194.1578,262144
66,275.2121,262144
73,220.3594,262144
80,152.1036,262144
87,209.0978,262144
94,154.9779,262144
101,220.522,262144
108,148.4765,262144
4,185.299,1048576
11,357.6606,1048576
18,280.5837,1048576
25,279.3692,1048576
32,176.0082,1048576
39,292.867,1048576
46,178.7022,1048576
53,338.0147,1048576
67,313.4124,1048576
74,523.7421,1048576
81,161.3474,1048576
88,441.8824,1048576
95,176.8837,1048576
102,442.8031,1048576
109,169.9572,1048576
5,335.729,4194304
12,609.8768,4194304
19,355.1259,4194304
26,753.1426,4194304
33,317.9963,4194304
40,799.4606,4194304
47,557.3207,4194304
54,811.8564,4194304
68,502.7047,4194304
82,296.1063,4194304
89,1380.0407,4194304
96,307.7605,4194304
103,1285.9347,4194304
110,290.6064,4194304
6,953.5546,16777216
13,2203.142,16777216
20,967.2457,16777216
27,1798.3049,16777216
34,906.671,16777216
41,1937.9295,16777216
48,1133.7013,16777216
55,2177.3718,16777216
69,1267.4993,16777216
83,1028.5842,16777216
90,3839.0832,16777216
97,1066.9605,16777216
104,3560.486,16777216
111,905.357,16777216
